first_name,last_name,email,age,location,client_tenure,interaction_freq,last_interaction_date,portfolio_value,investment_growth,survey_results,login_freq,time_spent_on_cw,stay_leave
Graehme,Kiraly,gkiraly4k@cbsnews.com,32,California,8.04,high,12/20/24,"$4,213,459.57",-4.34,49.79,2,3.47,1
Shamus,McCormack,smccormack4l@jugem.jp,51,California,19.26,high,1/9/25,"$3,795,593.53",21.81,81.4,24,13.15,0
Leopold,Aldwich,laldwich4m@smh.com.au,65,California,14.61,low,12/10/24,"$5,889,561.94",4.08,61.09,20,17.83,0
Jamie,Hanburry,jhanburry4n@scribd.com,33,California,5.41,high,12/25/24,"$7,242,694.29",-1.17,54.58,19,18.59,0
Cris,Marquess,cmarquess4o@elpais.com,69,California,14.86,low,1/11/25,"$4,349,790.31",6.37,84.27,24,16.32,0
Adair,Van der Daal,avanderdaal4p@npr.org,25,California,5.07,high,1/16/25,"$9,473,659.35",4.74,64.04,20,19.56,0
Horacio,Durbyn,hdurbyn4q@nymag.com,26,Nevada,4.55,high,1/16/25,"$2,596,045.48",1.78,68.66,14,11.39,0
Ozzie,Butterfill,obutterfill4r@4shared.com,44,California,4.86,low,12/20/24,"$4,993,502.91",2.36,57.14,13,2.75,0
Clair,Firks,cfirks4s@cargocollective.com,25,California,0.49,medium,1/10/25,"$1,632,301.76",0.32,72.85,29,20.1,0
Sharyl,Everit,severit4t@unc.edu,43,California,6.69,medium,1/14/25,"$3,836,414.50",-0.29,62.3,9,9.12,0
Joseph,McAnellye,jmcanellye4u@hexun.com,57,Arizona,13.7,low,1/12/25,"$7,852,966.67",5.78,81.94,6,5.41,0
Urban,Marklow,umarklow4v@naver.com,57,California,14.53,high,12/21/24,"$6,816,048.11",1.41,71.96,1,0.1,0
Cam,Isley,cisley4w@omniture.com,47,Washington,8.2,low,12/13/24,"$9,551,552.56",11,79.19,30,16.96,0
Conway,Rowsell,crowsell4x@harvard.edu,27,California,3.68,medium,12/25/24,"$6,228,557.13",-2.45,44.89,8,9.69,1
Adrien,Obey,aobey4y@devhub.com,67,California,12.13,high,1/15/25,"$9,945,252.29",7.47,77.24,14,10.75,0
Susana,Stooke,sstooke4z@moonfruit.com,63,Arizona,20.52,low,1/14/25,"$6,740,476.15",19.28,81.07,3,2.39,0
Rhetta,Twiggins,rtwiggins50@cbsnews.com,26,California,3.42,high,12/9/24,"$6,813,812.43",5.97,69.8,19,18.93,0
Gianni,Tawse,gtawse51@hao123.com,58,California,15.46,low,12/27/24,"$1,418,899.32",3.92,74.95,1,1.5,0
Bent,Gounod,bgounod52@google.nl,68,California,18.94,high,12/30/24,"$864,246.96",16.07,77.03,26,13.6,0
Atalanta,Dulake,adulake53@adobe.com,65,California,9.55,low,12/27/24,"$5,860,836.54",1.49,82.95,22,20.82,0
Ruperto,O'Loinn,roloinn54@blog.com,57,California,15.49,low,1/15/25,"$5,758,650.17",7.45,76.91,13,9.74,0
Birdie,Brampton,bbrampton55@imgur.com,68,California,16.89,low,1/11/25,"$9,283,470.66",9.43,74.6,22,17.06,0
Micah,Inglese,minglese56@shinystat.com,48,California,6.93,low,12/17/24,"$5,236,957.52",4.27,56.7,17,15.52,1
Redd,Rableau,rrableau57@lycos.com,42,California,7.67,high,1/16/25,"$9,270,519.51",3.44,79.73,4,1.08,0
Megan,Raisher,mraisher58@japanpost.jp,67,California,16.54,medium,12/13/24,"$3,361,206.98",13.16,77.2,10,9.69,0
Arlyn,Stratley,astratley59@symantec.com,38,California,6.56,medium,1/18/25,"$8,392,429.22",3.48,86.91,18,9.78,0
Chane,Mandres,cmandres5a@google.pl,79,Washington,14.68,medium,1/14/25,"$3,662,791.92",-1.59,62.86,30,14.98,0
Inessa,Bickley,ibickley5b@amazon.co.uk,66,Nevada,17.05,low,1/13/25,"$1,481,080.88",6.96,73.02,24,15.28,0
Giacopo,Bamblett,gbamblett5c@guardian.co.uk,34,California,9.15,medium,12/15/24,"$8,756,161.97",8.82,75.61,10,8.28,0
Barbi,Chatainier,bchatainier5d@reddit.com,54,California,11.23,low,12/15/24,"$2,761,731.84",5.49,68.02,6,6.95,0
Walther,Fenton,wfenton5e@google.com.hk,78,California,17.36,medium,1/18/25,"$3,809,725.50",12.97,81.34,5,7.13,0
Orelie,Beckensall,obeckensall5f@apache.org,36,California,8.14,high,12/21/24,"$1,881,304.20",-4.29,54.89,17,11.69,0
Adriaens,Nibley,anibley5g@mlb.com,73,California,15.17,low,1/17/25,"$4,678,513.65",13.76,79.65,12,7.74,0
Miner,Loody,mloody5h@princeton.edu,64,California,14.82,low,12/29/24,"$5,885,312.59",-6.52,54.94,1,0.14,1
Cati,Manuaud,cmanuaud5i@buzzfeed.com,54,California,11.49,low,1/4/25,"$4,519,004.00",6.45,79.97,1,3.76,0
Kiele,Kellough,kkellough5j@berkeley.edu,79,Washington,17.63,low,12/17/24,"$8,804,967.74",7.49,80.56,26,14.08,0
